"Timestamp","State","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"2026-06-18T06:18:32.5997681+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:32.5997681+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:32.5997681+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:32.5997681+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:32.6123142+00:00","Established","127.0.0.1","4449","127.0.0.1","52061","4784"
"2026-06-18T06:18:32.6123142+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:33.4560702+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:33.4560702+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:33.4560702+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:33.4560702+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:33.4560702+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:33.4560702+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:33.4560702+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:33.4560702+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:33.4560702+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:34.3234560+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:34.3234560+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:34.3234560+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:34.3234560+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:34.3234560+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:34.3374924+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:34.3374924+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:34.3374924+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:34.3374924+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:34.3374924+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:35.0624344+00:00","Bound","0.0.0.0","52067","0.0.0.0","0","4784"
"2026-06-18T06:18:35.0624344+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:35.0624344+00:00","Established","172.31.45.235","52067","159.69.15.34","443","4784"
"2026-06-18T06:18:35.0624344+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:35.0624344+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:35.0624344+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:35.0624344+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:35.0624344+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:35.0744940+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:35.0747348+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:35.0747348+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:35.0747348+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:35.8696188+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:35.8696188+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:35.8831102+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:35.8836817+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:35.8836817+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:35.8836817+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:35.8836817+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:35.8857446+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:35.8857446+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:35.8857446+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:36.5664471+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:36.5664471+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:36.5664471+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:36.5664471+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:36.5822066+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:36.5822066+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:36.5822066+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:36.5822066+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:36.5822066+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:36.5822066+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:36.5822066+00:00","Established","127.0.0.1","4449","127.0.0.1","52069","4784"
"2026-06-18T06:18:37.2057134+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:37.2057134+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:37.2170277+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:37.2170277+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:37.2170277+00:00","Listen","127.0.0.1","4449","0.0.0.0","0","4784"
"2026-06-18T06:18:37.2170277+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
"2026-06-18T06:18:37.2170277+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:37.2170277+00:00","Established","127.0.0.1","4449","127.0.0.1","52064","4784"
"2026-06-18T06:18:37.2170277+00:00","Established","127.0.0.1","4449","127.0.0.1","52062","4784"
"2026-06-18T06:18:37.2170277+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:37.2170277+00:00","Established","127.0.0.1","4449","127.0.0.1","52069","4784"
"2026-06-18T06:18:37.8488635+00:00","Bound","0.0.0.0","50771","0.0.0.0","0","4784"
"2026-06-18T06:18:37.8534001+00:00","Established","172.31.45.235","50771","188.245.149.150","4222","4784"
"2026-06-18T06:18:37.8534001+00:00","Listen","127.0.0.1","44051","0.0.0.0","0","3816"
"2026-06-18T06:18:37.8534001+00:00","Listen","127.0.0.1","44050","0.0.0.0","0","4784"
"2026-06-18T06:18:37.8534001+00:00","Established","127.0.0.1","4449","127.0.0.1","52063","4784"
"2026-06-18T06:18:37.8534001+00:00","Established","127.0.0.1","4449","127.0.0.1","52069","4784"
"2026-06-18T06:18:37.8534001+00:00","Established","127.0.0.1","4449","127.0.0.1","52066","4784"
"2026-06-18T06:18:37.8534001+00:00","Established","127.0.0.1","4449","127.0.0.1","52065","4784"
