"Timestamp","ProcessId","ParentProcessId","Name","ExecutablePath"
"2026-06-18T05:48:57.1593334+00:00","3376","4040","curl.exe","C:\Windows\system32\curl.exe"
"2026-06-18T05:48:57.1754538+00:00","3616","3376","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:48:57.1754538+00:00","2620","4040","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"2026-06-18T05:48:57.1754538+00:00","2032","2620","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:48:58.4790455+00:00","3376","4040","curl.exe","C:\Windows\system32\curl.exe"
"2026-06-18T05:48:58.4790455+00:00","3616","3376","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:48:58.4790455+00:00","2620","4040","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"2026-06-18T05:48:58.4790455+00:00","2032","2620","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:48:59.0898014+00:00","3376","4040","curl.exe","C:\Windows\system32\curl.exe"
"2026-06-18T05:48:59.0898014+00:00","3616","3376","conhost.exe","C:\Windows\system32\conhost.exe"
"2026-06-18T05:48:59.0898014+00:00","2620","4040","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"2026-06-18T05:48:59.0898014+00:00","2032","2620","conhost.exe","C:\Windows\system32\conhost.exe"
